regime,start_date,end_date,strategy_mode,sma_bars,entry_threshold_pct,scope,symbol,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,total_trades
Early2026,2026-01-01,2026-02-28,sma,20,0.0025,symbol,AAPL,-0.0030147959176019864,0.8905118105913221,31.25,10.764074241073724,-4.897328891272334,64
Early2026,2026-01-01,2026-02-28,sma,20,0.0025,symbol,MSFT,0.6907391412332026,1.629595584982419,41.17647058823529,11.719073133467221,-7.052119291371717,68
Early2026,2026-01-01,2026-02-28,sma,20,0.0025,symbol,NVDA,-2.211620053440811,2.806651024727903,26.666666666666668,12.70492188189732,-6.853931243357461,90
Mar2026,2026-03-01,2026-04-04,sma,100,0.0025,portfolio,COMBINED,-0.5787280833696422,1.1439499791294474,25.0,10.21005991619018,-6.618509324117066,45
Mar2026,2026-03-01,2026-04-04,sma,100,0.0025,symbol,AAPL,-0.5945026969059244,1.0854269531715681,28.57142857142857,9.05682242881428,-7.586080284231974,13
Mar2026,2026-03-01,2026-04-04,sma,100,0.0025,symbol,MSFT,-0.5246298816075478,0.8112708708635727,20.0,9.554699641867607,-6.760590590529787,9
Mar2026,2026-03-01,2026-04-04,sma,100,0.0025,symbol,NVDA,-0.6170516715954955,1.5704254819599326,25.0,11.197338332548304,-6.0178226723142405,23
Early2026,2026-01-01,2026-02-28,sma,10,0.001,portfolio,COMBINED,-0.5996501954919403,1.4919763681150122,32.870370370370374,8.795546394289115,-4.720336645129154,432
Early2026,2026-01-01,2026-02-28,sma,10,0.001,symbol,AAPL,0.18026383569954305,1.3584228395301852,33.33333333333333,7.966601090290709,-3.852674577247137,138
Early2026,2026-01-01,2026-02-28,sma,10,0.001,symbol,MSFT,-1.041852111587741,2.7851843491718804,27.77777777777778,10.137568205331421,-4.566918612042659,144
Early2026,2026-01-01,2026-02-28,sma,10,0.001,symbol,NVDA,-0.937362310587855,2.0848344101762946,37.333333333333336,8.51787874325758,-5.7392769183859835,150
Late2025,2025-10-04,2025-12-31,sma,20,0.005,portfolio,COMBINED,-0.610153817937371,1.7447439095472563,34.54545454545455,12.642436341262927,-7.519832816135085,220
Late2025,2025-10-04,2025-12-31,sma,20,0.005,symbol,AAPL,-0.8000230930360475,2.6478298710184194,30.303030303030305,10.747202147631581,-5.83215034395006,66
Late2025,2025-10-04,2025-12-31,sma,20,0.005,symbol,MSFT,-3.0531711256551213,3.0531711256551213,31.03448275862069,6.032637184422807,-7.803305275748777,58
Late2025,2025-10-04,2025-12-31,sma,20,0.005,symbol,NVDA,2.022732764879097,2.6884538345041027,39.58333333333333,16.770885517466848,-8.66284135641032,96
Mar2026,2026-03-01,2026-04-04,sma,100,0.005,portfolio,COMBINED,-0.7067615009157635,1.0939942739651451,26.31578947368421,8.457133654508471,-8.068701311722931,35
Mar2026,2026-03-01,2026-04-04,sma,100,0.005,symbol,AAPL,-0.419076928907366,0.7365999335280412,40.0,6.166801568064806,-8.767611366569602,9
Mar2026,2026-03-01,2026-04-04,sma,100,0.005,symbol,MSFT,-0.13151784128265262,0.41815883053867764,33.33333333333333,9.554699641867607,-6.969313842311336,5
Mar2026,2026-03-01,2026-04-04,sma,100,0.005,symbol,NVDA,-1.5696897325573265,2.127224057828771,18.181818181818183,10.198682747272564,-8.080039619976615,21
Mar2026,2026-03-01,2026-04-04,sma,20,0.0025,portfolio,COMBINED,-0.7076471955687157,1.691515069265824,26.47058823529412,10.297159700096842,-5.1222718831723855,133
Mar2026,2026-03-01,2026-04-04,sma,20,0.0025,symbol,AAPL,-1.2144930657638588,1.5515048151609878,19.047619047619047,9.841530218459104,-4.697013121527356,41
Mar2026,2026-03-01,2026-04-04,sma,20,0.0025,symbol,MSFT,-1.0340182974868912,2.0271164656505385,25.0,6.882380416127347,-4.2089755044256085,47
Mar2026,2026-03-01,2026-04-04,sma,20,0.0025,symbol,NVDA,0.1255697765444529,2.1209773930751563,34.78260869565217,13.08605890389283,-6.700187467532887,45
Early2026,2026-01-01,2026-02-28,sma,20,0.001,portfolio,COMBINED,-0.7517881112275608,1.441116662310102,30.215827338129497,11.668611032971128,-5.827427572242722,278
Early2026,2026-01-01,2026-02-28,sma,20,0.001,symbol,AAPL,-0.11057760440522997,0.9280282635450157,30.23255813953488,10.117089566872304,-4.506936150539313,86
Early2026,2026-01-01,2026-02-28,sma,20,0.001,symbol,MSFT,-0.5103778562909748,1.9663026308836695,30.434782608695656,13.384475082654365,-6.387351448964387,92
Early2026,2026-01-01,2026-02-28,sma,20,0.001,symbol,NVDA,-1.6344088729864914,2.5387561021838834,30.0,11.411789857219096,-6.447346960700119,100
Early2026,2026-01-01,2026-02-28,sma,10,0.0005,portfolio,COMBINED,-0.764815752940176,1.5501538410223321,31.32530120481928,8.367978006868244,-4.264233098419571,498
Early2026,2026-01-01,2026-02-28,sma,10,0.0005,symbol,AAPL,-0.0772666888584672,1.3682301224370303,33.33333333333333,7.2314757003583106,-3.663433337128814,162
Early2026,2026-01-01,2026-02-28,sma,10,0.0005,symbol,MSFT,-0.8403278974632848,2.5423214203853655,26.506024096385545,9.894515002794806,-4.027709179949646,166
Early2026,2026-01-01,2026-02-28,sma,10,0.0005,symbol,NVDA,-1.3768526724989942,2.454066779133109,34.11764705882353,8.268038295329747,-5.101217850854687,170
Early2026,2026-01-01,2026-02-28,sma,10,0.0,portfolio,COMBINED,-0.8737935064290832,1.6413883299121448,29.72027972027972,8.057380354842623,-3.8420730388284685,572
Early2026,2026-01-01,2026-02-28,sma,10,0.0,symbol,AAPL,-0.24909782274430653,1.3492933640101716,32.25806451612903,6.811647101328152,-3.3754392666347344,186
Early2026,2026-01-01,2026-02-28,sma,10,0.0,symbol,MSFT,-0.6730234771023332,2.68493244852957,25.53191489361702,9.58230661581614,-3.605849638328535,188
Early2026,2026-01-01,2026-02-28,sma,10,0.0,symbol,NVDA,-1.6992592194404323,2.7423752230559493,31.313131313131315,8.082340591683575,-4.517566651816714,198
Mar2026,2026-03-01,2026-04-04,sma,50,0.0025,portfolio,COMBINED,-0.9457067373932296,1.497445087401176,27.27272727272727,7.888739749080561,-5.913610960259058,85
Mar2026,2026-03-01,2026-04-04,sma,50,0.0025,symbol,AAPL,-0.19964310841990027,0.8356990251041455,50.0,5.11878307413066,-6.227911454241291,23
Mar2026,2026-03-01,2026-04-04,sma,50,0.0025,symbol,MSFT,-1.0950072029289686,1.8039030038142774,20.0,9.057951692457195,-5.306174597917,29
Mar2026,2026-03-01,2026-04-04,sma,50,0.0025,symbol,NVDA,-1.5424699008308198,2.1612840887114406,17.647058823529413,12.25944115560373,-6.299570487702725,33
Mar2026,2026-03-01,2026-04-04,sma,10,0.0025,portfolio,COMBINED,-0.9655662082569506,1.9495095434809078,28.57142857142857,8.097548542833886,-4.618399714643468,193
Mar2026,2026-03-01,2026-04-04,sma,10,0.0025,symbol,AAPL,-1.6172403909969535,1.7542889622432993,24.137931034482758,7.024950333066374,-4.68557569839532,57
Mar2026,2026-03-01,2026-04-04,sma,10,0.0025,symbol,MSFT,-1.0444995256210996,2.12927838157758,30.0,5.479191775140922,-4.006160801443154,59
Mar2026,2026-03-01,2026-04-04,sma,10,0.0025,symbol,NVDA,-0.23495870815266243,2.7136905137459246,30.76923076923077,10.686998407634663,-5.039849549260716,77
Mar2026,2026-03-01,2026-04-04,sma,50,0.005,portfolio,COMBINED,-1.0216652717997567,1.4416200853459977,25.0,9.181908756407593,-7.317574884634819,61
Mar2026,2026-03-01,2026-04-04,sma,50,0.005,symbol,AAPL,-0.8946516023544746,1.1638257103451586,18.181818181818183,8.088171153871178,-5.110895820691663,21
Mar2026,2026-03-01,2026-04-04,sma,50,0.005,symbol,MSFT,-0.7171146029319471,1.4137452613560393,33.33333333333333,7.779349823190476,-7.873644927883913,17
Mar2026,2026-03-01,2026-04-04,sma,50,0.005,symbol,NVDA,-1.4532296101128077,1.986920442207497,25.0,11.31362609131565,-9.153540586411916,23
Late2025,2025-10-04,2025-12-31,sma,50,0.0,portfolio,COMBINED,-1.0488831497090723,2.762577683946026,16.304347826086957,18.17844274569585,-4.222348034686969,368
Late2025,2025-10-04,2025-12-31,sma,50,0.0,symbol,AAPL,-0.7125441644882312,2.8020431677018895,13.043478260869565,16.39981600769049,-2.8558302703137173,138
Late2025,2025-10-04,2025-12-31,sma,50,0.0,symbol,MSFT,-1.243393597728159,1.8484202391569629,18.867924528301888,12.456099666664217,-3.860638370331309,106
Late2025,2025-10-04,2025-12-31,sma,50,0.0,symbol,NVDA,-1.1907116869111678,5.224489555561799,17.741935483870968,24.835812875910822,-6.1349868862495,124
