regime,start_date,end_date,strategy_mode,entry_threshold_pct,sma_bars,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,realized_pnl,final_equity,final_cash,starting_capital,position_size
Mar2026,2026-03-01,2026-04-04,sma,0.001,20,-1.3156367946585306,2.350012148181719,205,104,0,10,3,22.115384615384613,9.608159119010503,-4.352485669174047,-131.56367946585624,9868.436320534147,9868.436320534147,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0005,50,-1.3329351150386355,2.98295088848552,318,159,0,9,3,18.238993710691823,18.350674343733495,-5.11894667286262,-133.29351150386938,9866.706488496136,9866.706488496136,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0005,20,-1.3993345488476552,2.4399385292235944,225,114,0,13,3,21.929824561403507,8.983303589008367,-4.095685894494108,-139.93345488476655,9860.066545115234,9860.066545115234,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0005,20,-1.4136626630618958,2.8437809048438076,512,256,0,20,3,25.78125,11.058037236367854,-4.585245915297192,-141.36626630618858,9858.63373369381,9858.63373369381,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0,20,-1.45941077969037,2.555184112975431,592,296,0,29,3,23.64864864864865,10.733928806047572,-3.9704251964263966,-145.9410779690362,9854.058922030963,9854.058922030963,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.001,50,-1.5083259266255482,3.064727032834397,284,142,0,4,3,19.718309859154928,18.571664824134448,-5.8845544538449595,-150.83259266256098,9849.167407337445,9849.167407337445,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0005,10,-1.7298827729131518,3.1655639385247376,784,392,0,39,3,28.8265306122449,8.02175956957451,-3.86898605252059,-172.98827729132515,9827.011722708685,9827.011722708685,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.001,10,-1.8792590593524254,2.592167658330812,289,146,0,14,3,25.34246575342466,7.481507082490031,-4.263685027407113,-187.9259059352441,9812.074094064757,9812.074094064757,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0005,10,-1.9193325400444519,2.7413940631802367,325,164,0,20,3,23.78048780487805,7.409911842829256,-3.8473585269983293,-191.93325400445016,9808.066745995555,9808.066745995555,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0,10,-1.930584697311806,2.617163743816348,377,190,0,21,3,23.157894736842106,7.126777419220042,-3.4701142203894966,-193.05846973118466,9806.94153026882,9806.94153026882,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.001,10,-1.9793827511321254,3.418317768733705,680,340,0,31,3,30.0,8.343605171641885,-4.407504212691994,-197.93827511322246,9802.061724886787,9802.061724886787,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0,10,-1.9804965942592754,3.3923890987732417,910,455,0,46,3,25.71428571428571,7.9850553525001216,-3.350003359965799,-198.0496594259263,9801.950340574072,9801.950340574072,10000.0,1000.0
